,широта,долгота,,км
Абакан,53.72,91.44,Иркутск,872.40
Абакан,53.72,91.44,Кемерово,394.23
Абакан,53.72,91.44,Красноярск,269.80
Абакан,53.72,91.44,Новосибирск,570.36
Анадырь,64.73,177.50,Магадан,1486.60
Анадырь,64.73,177.50,Петропавловск-Камчатский,1678.80
Анадырь,64.73,177.50,Хабаровск,3074.51
Анадырь,64.73,177.50,Якутск,2341.12
Архангельск,64.54,40.52,Вологда,589.41
Архангельск,64.54,40.52,Санкт-Петербург,733.79
Архангельск,64.54,40.52,Сыктывкар,608.29
Астрахань,46.37,48.06,Волгоград,371.90
Астрахань,46.37,48.06,Грозный,386.46
Астрахань,46.37,48.06,Махачкала,378.43
Астрахань,46.37,48.06,Элиста,290.67
Барнаул,53.35,83.78,Кемерово,270.48
Барнаул,53.35,83.78,Красноярск,653.36
Барнаул,53.35,83.78,Новосибирск,195.00
Белгород,50.60,36.59,Воронеж,217.10
Белгород,50.60,36.59,Курск,128.90
Белгород,50.60,36.59,Москва,577.48
Белгород,50.60,36.59,Орел,265.85
Белгород,50.60,36.59,Ростов-на-Дону,439.55
Белгород,50.60,36.59,Тамбов,410.28
Беломорск,64.52,34.77,Архангельск,274.91
Биробиджан,48.79,132.92,Благовещенск,423.16
Биробиджан,48.79,132.92,Комсомольск-на-Амуре,340.25
Биробиджан,48.79,132.92,Хабаровск,161.36
Благовещенск,50.29,127.53,Комсомольск-на-Амуре,672.49
Благовещенск,50.29,127.53,Хабаровск,581.58
Брянск,53.24,34.36,Калуга,187.14
Брянск,53.24,34.36,Курск,208.91
Брянск,53.24,34.36,Липецк,357.58
Брянск,53.24,34.36,Москва,349.43
Брянск,53.24,34.36,Орел,117.97
Брянск,53.24,34.36,Смоленск,228.51
Брянск,53.24,34.36,Тула,238.53
Великий Новгород,58.52,31.28,Москва,490.82
Великий Новгород,58.52,31.28,Псков,189.44
Великий Новгород,58.52,31.28,Санкт-Петербург,166.83
Великий Новгород,58.52,31.28,Тверь,331.71
Великий Новгород,58.52,31.28,Ярославль,516.44
Владивосток,43.12,131.88,Комсомольск-на-Амуре,891.54
Владивосток,43.12,131.88,Хабаровск,643.56
Владикавказ,43.02,44.68,Грозный,88.81
Владикавказ,43.02,44.68,Магас,19.63
Владикавказ,43.02,44.68,Нальчик,101.18
Владикавказ,43.02,44.68,Ставрополь,312.51
Владикавказ,43.02,44.68,Элиста,367.03
Владимир,56.13,40.41,Вологда,348.63
Владимир,56.13,40.41,Иваново,102.87
Владимир,56.13,40.41,Кострома,185.04
Владимир,56.13,40.41,Москва,178.52
