city,lat,lon,city1
Барнаул,53.3479968,83.7798064,Новосибирск
Барнаул,53.3479968,83.7798064,Омск
Барнаул,53.3479968,83.7798064,Тюмень
Барнаул,53.3479968,83.7798064,Челябинск
Барнаул,53.3479968,83.7798064,Екатеринбург
Барнаул,53.3479968,83.7798064,Кемерово
Барнаул,53.3479968,83.7798064,Томск
Барнаул,53.3479968,83.7798064,Абакан
Барнаул,53.3479968,83.7798064,Красноярск
Барнаул,53.3479968,83.7798064,Иркутск
Барнаул,53.3479968,83.7798064,Улан-Удэ
Барнаул,53.3479968,83.7798064,Чита
Благовещенск,50.290659,127.527198,Биробиджан
Благовещенск,50.290659,127.527198,Хабаровск
Благовещенск,50.290659,127.527198,Южно-Сахалинск
Благовещенск,50.290659,127.527198,Биробиджан
Благовещенск,50.290659,127.527198,Магадан
Благовещенск,50.290659,127.527198,Комсомольск-на-Амуре
Архангельск,64.5394289,40.5169606,Сыктывкар
Архангельск,64.5394289,40.5169606,Петрозаводск
Архангельск,64.5394289,40.5169606,Вологда
Архангельск,64.5394289,40.5169606,Ханты-Мансийск
Архангельск,64.5394289,40.5169606,Киров
Архангельск,64.5394289,40.5169606,Йошкар-Ола
Архангельск,64.5394289,40.5169606,Нижний Новгород
Архангельск,64.5394289,40.5169606,Кострома
Архангельск,64.5394289,40.5169606,Ярославль
Архангельск,64.5394289,40.5169606,Санкт-Петербург
Архангельск,64.5394289,40.5169606,Великий Новгород
Астрахань,46.3655652,48.0559236,Махачкала
Астрахань,46.3655652,48.0559236,Грозный
Астрахань,46.3655652,48.0559236,Владикавказ
Астрахань,46.3655652,48.0559236,Ставрополь
Астрахань,46.3655652,48.0559236,Волгоград
Астрахань,46.3655652,48.0559236,Элиста
Астрахань,46.3655652,48.0559236,Ростов-на-Дону
Астрахань,46.3655652,48.0559236,Сочи
Астрахань,46.3655652,48.0559236,Краснодар
Астрахань,46.3655652,48.0559236,Майкоп
Астрахань,46.3655652,48.0559236,Севастополь
Астрахань,46.3655652,48.0559236,Симферополь
Астрахань,46.3655652,48.0559236,Саратов
Астрахань,46.3655652,48.0559236,Воронеж
Астрахань,46.3655652,48.0559236,Самара
Астрахань,46.3655652,48.0559236,Пенза
Астрахань,46.3655652,48.0559236,Ульяновск
Астрахань,46.3655652,48.0559236,Саранск
Астрахань,46.3655652,48.0559236,Нижний Новгород
Астрахань,46.3655652,48.0559236,Нальчик
Астрахань,46.3655652,48.0559236,Курск
Астрахань,46.3655652,48.0559236,Белгород
Астрахань,46.3655652,48.0559236,Липецк
Астрахань,46.3655652,48.0559236,Тамбов
Астрахань,46.3655652,48.0559236,Тула
Астрахань,46.3655652,48.0559236,Рязань
Астрахань,46.3655652,48.0559236,Калуга
Астрахань,46.3655652,48.0559236,Москва
Астрахань,46.3655652,48.0559236,Орел
Астрахань,46.3655652,48.0559236,Брянск
Астрахань,46.3655652,48.0559236,Калуга
Астрахань,46.3655652,48.0559236,Смоленск
Астрахань,46.3655652,48.0559236,Владимир
Астрахань,46.3655652,48.0559236,Рязань
Астрахань,46.3655652,48.0559236,Тверь
Астрахань,46.3655652,48.0559236,Ярославль
Белгород,50.5976472,36.5856652,Нижний Новгород
Белгород,50.5976472,36.5856652,Орел
Белгород,50.5976472,36.5856652,Брянск
Белгород,50.5976472,36.5856652,Тула
Белгород,50.5976472,36.5856652,Калуга
Белгород,50.5976472,36.5856652,Москва
Белгород,50.5976472,36.5856652,Смоленск
Белгород,50.5976472,36.5856652,Рязань
Белгород,50.5976472,36.5856652,Смоленск
Белгород,50.5976472,36.5856652,Воронеж
Белгород,50.5976472,36.5856652,Владимир
Белгород,50.5976472,36.5856652,Иваново
Белгород,50.5976472,36.5856652,Ярославль
Белгород,50.5976472,36.5856652,Кострома
Белгород,50.5976472,36.5856652,Тверь
Белгород,50.5976472,36.5856652,Псков
Белгород,50.5976472,36.5856652,Великий Новгород
Белгород,50.5976472,36.5856652,Нижний Новгород
Белгород,50.5976472,36.5856652,Санкт-Петербург
Брянск,53.2419535,34.3652146,Санкт-Петербург
Белгород,50.5976472,36.5856652,Казань
Белгород,50.5976472,36.5856652,Йошкар-Ола
Белгород,50.5976472,36.5856652,Ульяновск
Белгород,50.5976472,36.5856652,Самара
Белгород,50.5976472,36.5856652,Киров
Белгород,50.5976472,36.5856652,Нижний Новгород
Белгород,50.5976472,36.5856652,Вологда
Белгород,50.5976472,36.5856652,Уфа
Белгород,50.5976472,36.5856652,Пермь
Владимир,56.1280804,40.4084376,Уфа
Владимир,56.1280804,40.4084376,Москва
Владимир,56.1280804,40.4084376,Иваново
Владимир,56.1280804,40.4084376,Нижний Новгород
Владимир,56.1280804,40.4084376,Ярославль
Владимир,56.1280804,40.4084376,Чебоксары
Владимир,56.1280804,40.4084376,Тверь
Владимир,56.1280804,40.4084376,Калуга
Владимир,56.1280804,40.4084376,Тула
Владимир,56.1280804,40.4084376,Рязань
Владимир,56.1280804,40.4084376,Пенза
